Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
200,Marcus Smart,31,LAL,SG,14,9,26.8,3.0,7.4,.408,1.1,4.5,.254,1.9,2.9,.650,.485,2.1,2.3,.938,0.6,1.6,2.3,2.9,1.8,0.3,1.9,2.9,9.3,,smartma01
201,Bogdan Bogdanović,33,LAC,SG,10,2,25.4,3.2,8.2,.390,1.7,5.1,.333,1.5,3.1,.484,.494,1.1,1.3,.846,0.3,2.9,3.2,3.2,0.7,0.1,1.3,2.7,9.2,,bogdabo01
202,Tre Mann,24,CHO,PG,18,1,20.6,3.5,9.7,.362,1.5,4.9,.303,2.0,4.7,.424,.440,0.7,0.7,.923,0.7,2.1,2.8,2.7,0.6,0.1,1.9,2.1,9.2,,manntr01
203,Cam Whitmore,21,WAS,SF,21,0,16.9,3.7,8.0,.456,0.8,2.7,.286,2.9,5.4,.540,.503,1.1,1.5,.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2,,whitmca01
204,Jose Alvarado,27,NOP,PG,24,0,22.5,3.3,7.5,.447,1.8,4.8,.386,1.5,2.7,.554,.570,0.6,0.8,.833,0.4,2.4,2.8,3.0,1.1,0.1,1.3,2.1,9.1,,alvarjo01
205,Aaron Holiday,29,HOU,PG,16,0,17.1,2.9,6.3,.455,1.8,4.2,.433,1.1,2.1,.500,.599,1.5,1.7,.889,0.1,0.9,1.0,1.2,0.5,0.2,0.9,1.3,9.1,,holidaa01
206,T.J. McConnell,33,IND,PG,14,0,16.6,4.4,8.6,.508,0.4,1.1,.313,4.0,7.4,.538,.529,0.1,0.1,1.000,0.1,2.3,2.4,4.3,1.1,0.2,0.8,1.3,9.1,,mccontj01
207,Ryan Kalkbrenner,24,CHO,C,22,21,25.5,3.8,4.7,.798,0.0,0.0,.000,3.8,4.7,.806,.798,1.4,1.9,.756,2.8,3.9,6.7,0.5,0.7,1.9,1.2,1.9,9.0,,kalkbry01
208,Pelle Larsson,24,MIA,SG,23,16,22.4,3.0,6.9,.443,1.1,3.2,.338,2.0,3.7,.536,.522,1.8,2.3,.778,0.4,2.1,2.5,3.3,0.6,0.2,1.0,2.0,9.0,,larsspe01
209,Svi Mykhailiuk,28,UTA,SF,23,23,26.0,3.4,7.2,.476,1.8,4.9,.372,1.6,2.3,.698,.602,0.3,0.3,.875,0.7,2.0,2.7,2.1,0.5,0.1,0.9,1.4,9.0,,mykhasv01
210,Daniel Gafford,27,DAL,C,15,12,22.9,3.3,5.5,.610,0.0,0.0,,3.3,5.5,.610,.610,2.3,2.9,.791,2.3,4.1,6.4,1.3,0.9,1.4,1.4,2.7,8.9,,gaffoda01
211,Corey Kispert,26,WAS,SF,17,2,19.9,3.1,6.1,.505,1.6,3.9,.403,1.5,2.1,.694,.636,1.2,1.7,.724,0.4,2.1,2.5,1.7,0.5,0.2,0.6,1.1,8.9,,kispeco01
212,Jake LaRavia,24,LAL,PF,23,7,25.2,3.3,7.0,.463,1.0,3.0,.333,2.3,4.0,.559,.534,1.3,2.0,.689,1.1,2.7,3.8,1.8,1.2,0.3,1.1,2.2,8.9,,laravja01
213,Ryan Nembhard,22,DAL,PG,12,6,18.5,3.8,6.7,.563,1.3,2.3,.536,2.5,4.3,.577,.656,0.2,0.3,.667,0.3,1.3,1.6,4.8,0.3,0.0,1.2,1.6,8.9,,nembhry01
214,Trendon Watford,25,PHI,PF,14,4,20.4,3.4,6.3,.534,0.5,1.3,.389,2.9,5.0,.571,.574,1.7,2.1,.800,1.1,3.6,4.7,3.6,0.4,0.2,1.5,2.7,8.9,,watfotr01
215,Bilal Coulibaly,21,WAS,SG,12,12,27.2,2.8,7.6,.374,0.9,3.4,.268,1.9,4.2,.460,.434,2.3,2.9,.771,0.5,3.5,4.0,3.0,1.3,1.0,1.8,2.7,8.8,,coulibi01
216,Moussa Diabaté,24,CHO,C,23,2,22.4,3.3,5.1,.636,0.0,0.0,,3.3,5.1,.636,.636,2.2,3.1,.704,3.7,4.1,7.8,1.2,0.7,1.0,0.8,2.5,8.7,,diabamo01
217,Brice Sensabaugh,22,UTA,SF,22,0,15.6,2.9,7.1,.408,1.5,4.5,.337,1.4,2.7,.525,.513,1.3,1.5,.848,0.6,1.8,2.5,1.1,0.7,0.2,0.9,1.9,8.6,,sensabr01
218,Marvin Bagley III,26,WAS,PF,18,5,17.8,3.5,5.8,.606,0.2,0.5,.444,3.3,5.3,.621,.625,1.3,1.8,.697,2.2,2.6,4.8,1.3,0.6,0.8,0.9,2.2,8.5,,baglema01
219,Jordan Goodwin,27,PHO,PG,21,2,20.5,3.4,7.8,.433,1.3,3.6,.355,2.1,4.2,.500,.515,0.4,0.6,.750,1.8,2.4,4.2,2.0,1.4,0.1,1.1,1.6,8.5,,goodwjo01
220,Terance Mann,29,BRK,SG,21,21,26.3,3.1,7.0,.442,1.0,2.8,.339,2.1,4.2,.511,.510,1.3,1.6,.824,1.5,1.9,3.4,3.5,0.7,0.1,1.0,2.6,8.5,,mannte01
221,Jordan Miller,26,LAC,SF,4,0,13.5,2.3,4.8,.474,1.3,2.5,.500,1.0,2.3,.444,.605,2.8,3.0,.917,0.8,1.5,2.3,0.8,0.5,0.0,0.8,0.8,8.5,,millejo02
222,Tolu Smith,25,DET,PF,2,0,11.0,3.0,4.0,.750,0.0,0.0,,3.0,4.0,.750,.750,2.5,3.5,.714,2.0,3.5,5.5,1.0,0.5,0.5,0.5,1.0,8.5,,smithto05
223,Cason Wallace,22,OKC,SG,23,23,28.1,3.2,7.4,.435,1.6,4.1,.379,1.7,3.3,.507,.541,0.4,0.6,.769,0.7,2.3,3.0,2.5,2.3,0.3,1.1,2.1,8.4,,wallaca01
224,Egor Dёmin,19,BRK,PG,21,14,23.0,3.0,7.8,.380,1.9,5.3,.351,1.1,2.5,.442,.500,0.6,0.7,.857,0.6,2.7,3.3,3.7,0.8,0.3,1.7,2.0,8.3,,demineg01
225,Daniss Jenkins,24,DET,PG,19,6,17.9,3.2,7.1,.444,0.8,2.5,.340,2.3,4.6,.500,.504,1.2,1.6,.733,0.6,1.3,1.9,3.5,1.0,0.1,1.4,1.3,8.3,,jenkida01
226,Bradley Beal,32,LAC,SG,6,6,20.2,3.0,8.0,.375,1.2,3.2,.368,1.8,4.8,.379,.448,1.0,1.3,.750,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,8.2,,bealbr01
227,Jusuf Nurkić,31,UTA,C,22,17,24.1,3.3,7.4,.451,0.3,1.5,.219,3.0,5.9,.508,.472,1.2,2.4,.519,2.3,6.9,9.2,3.7,1.5,0.4,2.5,3.1,8.2,,nurkiju01
228,Isaac Okoro,25,CHI,SG,15,15,24.9,3.0,6.5,.459,1.2,3.1,.383,1.8,3.4,.529,.551,1.0,1.3,.750,1.1,1.5,2.7,1.6,0.4,0.7,1.0,3.1,8.2,,okorois01
229,Jonas Valančiūnas,33,DEN,C,23,0,12.5,3.3,5.8,.567,0.1,0.4,.222,3.2,5.4,.592,.575,1.5,1.9,.773,1.3,3.3,4.6,1.2,0.2,0.6,1.0,1.8,8.2,,valanjo01
230,Maxime Raynaud,22,SAC,C,16,2,16.8,3.3,6.2,.525,0.3,0.8,.308,3.0,5.4,.558,.545,1.4,1.7,.815,1.1,3.3,4.4,1.0,0.3,0.5,0.8,2.0,8.1,,raynama01
231,Luguentz Dort,26,OKC,SF,15,15,29.1,2.8,7.3,.382,1.6,5.1,.312,1.2,2.2,.545,.491,0.8,0.9,.923,1.2,2.7,3.9,1.1,1.0,0.4,0.7,3.1,8.0,,dortlu01
232,Draymond Green,35,GSW,PF,20,20,28.2,2.9,7.6,.382,1.6,4.7,.333,1.4,3.0,.458,.484,0.7,1.1,.619,0.8,5.3,6.1,5.5,0.8,0.9,3.0,3.6,8.0,,greendr01
233,Buddy Hield,33,GSW,SG,25,2,18.8,3.0,7.3,.404,1.4,4.7,.305,1.5,2.6,.585,.503,0.7,0.7,.944,0.7,1.9,2.6,1.6,0.9,0.1,1.0,1.4,8.0,,hieldbu01
234,Ron Holland,20,DET,SF,24,5,21.0,3.0,7.4,.401,0.8,2.8,.265,2.2,4.5,.486,.452,1.3,1.7,.780,0.8,2.5,3.3,1.6,1.7,0.3,1.4,2.4,8.0,,hollaro01
235,Caleb Love,24,POR,SG,16,0,18.0,2.9,9.0,.326,1.4,5.5,.261,1.5,3.5,.429,.406,0.7,0.9,.786,0.6,2.1,2.8,1.9,0.4,0.0,0.8,1.3,8.0,,loveca01
236,Tyrese Martin,26,BRK,SG,22,6,21.2,3.0,7.8,.384,1.3,4.5,.296,1.7,3.4,.500,.468,0.7,1.0,.727,1.0,2.3,3.4,2.5,0.7,0.1,1.1,1.0,8.0,,martity01
237,Will Richard,23,GSW,SG,23,12,19.1,2.8,5.3,.533,1.3,3.2,.397,1.6,2.1,.735,.652,1.0,1.3,.774,1.0,1.7,2.7,1.1,1.0,0.0,0.7,2.0,8.0,,richawi02
238,Dominick Barlow,22,PHI,PF,14,11,26.3,3.0,6.1,.494,0.4,1.7,.250,2.6,4.4,.590,.529,1.4,1.7,.833,2.1,3.4,5.6,2.0,0.8,1.1,1.2,2.3,7.9,,barlodo01
239,Danny Wolf,21,BRK,PF,9,0,15.7,2.6,5.8,.442,1.3,3.0,.444,1.2,2.8,.440,.558,1.4,1.6,.929,0.8,3.1,3.9,1.8,0.1,0.2,1.4,1.2,7.9,,wolfda01
